index,source_name,resolved,matched,master_id,master_name,reason,score,has_arc
141,X・ドレーク,X・ドレーク,True,275,X・ドレーク,si.find_character,,True
142,キラー（鎌ぞう）,キラー(鎌ぞう),True,277,キラー,si.find_character,,True
143,ペンギン,ペンギン,True,394,ペンギン,si.find_character,,True
144,ベポ,ベポ,True,286,ベポ,si.find_character,,True
145,シャチ,シャチ,True,393,シャチ,si.find_character,,True
146,ロズワード・チャルロス聖,ロズワード・チャルロス聖,True,865,ロズワード・チャルロス聖,si.find_character,,True
147,ヒート,ヒート,True,1059,ヒート,si.find_character,,True
148,ワイヤー,ワイヤー,True,1060,ワイヤー,si.find_character,,True
149,シルバーズ・レイリー,シルバーズ・レイリー,True,115,シルバーズ・レイリー,si.find_character,,True
150,ボルサリーノ（黄猿）,ボルサリーノ(黄猿),True,285,ボルサリーノ,si.find_character,,True
151,スイトピー,スイトピー,True,293,スイトピー,si.find_character,,True
152,マーガレット,マーガレット,True,291,マーガレット,si.find_character,,True
153,アフェランドラ,アフェランドラ,True,290,アフェランドラ,si.find_character,,True
154,ラン,ラン,True,301,ラン,si.find_character,,True
155,コスモス,コスモス,True,314,コスモス,si.find_character,,True
156,リンドウ,リンドウ,True,313,リンドウ,si.find_character,,True
157,ブルーファン,ブルーファン,True,315,ブルーファン,si.find_character,,True
158,デージー,デージー,True,302,デージー,si.find_character,,True
159,ボア・ハンコック,ボア・ハンコック,True,298,ボア・ハンコック,si.find_character,,True
160,ボア・サンダーソニア,ボア・サンダーソニア,True,300,ボア・サンダーソニア,si.find_character,,True
161,ボア・マリーゴールド,ボア・マリーゴールド,True,299,ボア・マリーゴールド,si.find_character,,True
162,サロメ,サロメ,True,356,サロメ,si.find_character,,True
163,ハレダス,ハレダス,True,370,ハレダス,si.find_character,,True
164,タロイモ,タロイモ,True,308,タロイモ,si.find_character,,True
165,マゼラン,マゼラン,True,318,マゼラン,si.find_character,,True
166,ジャン・ゴエン,ジャン・ゴエン,True,808,ジャン・ゴエン,si.find_character,,True
167,アン・ゼンガイーナ,アン・ゼンガイーナ,True,1077,アン・ゼンガイーナ,si.find_character,,True
168,イナズマ,イナズマ,True,331,イナズマ,si.find_character,,True
169,エンポリオ・イワンコフ,エンポリオ・イワンコフ,True,329,エンポリオ・イワンコフ,si.find_character,,True
170,サカズキ（赤犬）,サカズキ(赤犬),True,234,サカズキ,si.find_character,,True
171,サンファン・ウルフ,サンファン・ウルフ,True,357,サンファン・ウルフ,si.find_character,,True
